concept1;concept2;size of concept1;size of concept2;confidence
потребительский кредит;официальный представитель;8;16;0.8750
потребительский кредит;российское правительство;8;15;1.0000
потребительский кредит;аналитическое управление;8;12;1.0000
потребительский кредит;правительство РФ;8;14;0.8750
потребительский кредит;потребительское кредитование;8;9;1.0000
потребительский кредит;правительство;8;14;0.8750
потребительский кредит;потребительский спрос;8;7;0.8750
российский бюджет;компания;6;14;1.0000
российский бюджет;российский рубль;6;7;0.8333
российский бюджет;официальный представитель;6;16;1.0000
российский бюджет;российская сторона;6;7;0.8333
российский бюджет;российский газ;6;6;0.8333
российский бюджет;российская валюта;6;6;0.8333
российский бюджет;российское правительство;6;15;1.0000
российский бюджет;российская компания;6;11;1.0000
российский бюджет;уголовная ответственность;6;11;0.8333
российский бюджет;аналитик компании;6;10;0.8333
российский бюджет;собственное средство;6;14;0.8333
российский бюджет;российская власть;6;6;0.8333
российский бюджет;правительство РФ;6;14;0.8333
российский бюджет;Российская Федерация;6;6;0.8333
российский бюджет;иностранная компания;6;13;0.8333
российский бюджет;российский банк;6;6;0.8333
российский бюджет;российский производитель;6;9;0.8333
российский бюджет;правительство;6;14;0.8333
российский бюджет;российское законодательство;6;12;0.8333
российский бюджет;российский бизнес;6;7;0.8333
средний бизнес;строительство;6;11;0.8333
средний бизнес;официальный представитель;6;16;1.0000
средний бизнес;бизнес;6;7;1.0000
средний бизнес;российское правительство;6;15;0.8333
средний бизнес;уголовная ответственность;6;11;0.8333
средний бизнес;собственное средство;6;14;0.8333
средний бизнес;правительство РФ;6;14;0.8333
средний бизнес;кредитная организация;6;9;0.8333
средний бизнес;правительство;6;14;0.8333
средний бизнес;российское законодательство;6;12;0.8333
компания;официальный представитель;14;16;0.9286
компания;российское правительство;14;15;0.8571
компания;собственное средство;14;14;0.8571
компания;иностранная компания;14;13;0.9286
российский рубль;компания;7;14;1.0000
российский рубль;строительство;7;11;0.8571
российский рубль;официальный представитель;7;16;0.8571
российский рубль;российская сторона;7;7;0.8571
российский рубль;российский газ;7;6;0.8571
российский рубль;российская валюта;7;6;0.8571
российский рубль;российское правительство;7;15;1.0000
российский рубль;российская компания;7;11;1.0000
российский рубль;уголовная ответственность;7;11;0.8571
российский рубль;украинское правительство;7;11;0.8571
российский рубль;собственное средство;7;14;0.8571
российский рубль;российская власть;7;6;0.8571
российский рубль;правительство РФ;7;14;0.8571
российский рубль;иностранная компания;7;13;0.8571
российский рубль;российский банк;7;6;0.8571
российский рубль;промышленное производство;7;8;0.8571
российский рубль;российский производитель;7;9;1.0000
российский рубль;правительство;7;14;0.8571
российский рубль;российское законодательство;7;12;1.0000
российский рубль;российский бизнес;7;7;0.8571
строительство;компания;11;14;0.8182
строительство;официальный представитель;11;16;0.9091
строительство;российское правительство;11;15;1.0000
строительство;украинское правительство;11;11;0.9091
строительство;аналитическое управление;11;12;0.8182
строительство;собственное средство;11;14;0.9091
строительство;правительство РФ;11;14;1.0000
строительство;иностранная компания;11;13;0.8182
строительство;правительство;11;14;1.0000
строительство;российское законодательство;11;12;1.0000
официальный представитель;компания;16;14;0.8125
официальный представитель;российское правительство;16;15;0.8750
официальный представитель;собственное средство;16;14;0.8125
официальный представитель;правительство РФ;16;14;0.8125
официальный представитель;правительство;16;14;0.8125
российская сторона;компания;7;14;0.8571
российская сторона;российский рубль;7;7;0.8571
российская сторона;строительство;7;11;0.8571
российская сторона;официальный представитель;7;16;1.0000
российская сторона;российский газ;7;6;0.8571
российская сторона;российская валюта;7;6;0.8571
российская сторона;российское правительство;7;15;1.0000
российская сторона;российская компания;7;11;0.8571
российская сторона;уголовная ответственность;7;11;0.8571
российская сторона;российская власть;7;6;0.8571
российская сторона;правительство РФ;7;14;0.8571
российская сторона;российский банк;7;6;0.8571
российская сторона;российский производитель;7;9;1.0000
российская сторона;правительство;7;14;0.8571
российская сторона;российское законодательство;7;12;1.0000
российская сторона;российский бизнес;7;7;0.8571
бизнес;средний бизнес;7;6;0.8571
бизнес;строительство;7;11;0.8571
бизнес;официальный представитель;7;16;1.0000
бизнес;российское правительство;7;15;0.8571
бизнес;уголовная ответственность;7;11;0.8571
бизнес;собственное средство;7;14;0.8571
бизнес;правительство РФ;7;14;0.8571
бизнес;кредитная организация;7;9;0.8571
бизнес;правительство;7;14;0.8571
бизнес;российское законодательство;7;12;0.8571
рейтинговое агентство;официальный представитель;6;16;1.0000
рейтинговое агентство;российское правительство;6;15;1.0000
рейтинговое агентство;уголовная ответственность;6;11;0.8333
рейтинговое агентство;аналитическое управление;6;12;0.8333
рейтинговое агентство;правительство РФ;6;14;0.8333
рейтинговое агентство;потребительское кредитование;6;9;0.8333
рейтинговое агентство;правительство;6;14;0.8333
российский газ;российский бюджет;6;6;0.8333
российский газ;компания;6;14;1.0000
российский газ;российский рубль;6;7;1.0000
российский газ;строительство;6;11;0.8333
российский газ;официальный представитель;6;16;1.0000
российский газ;российская сторона;6;7;1.0000
российский газ;российская валюта;6;6;1.0000
российский газ;российское правительство;6;15;1.0000
российский газ;российская компания;6;11;1.0000
российский газ;уголовная ответственность;6;11;0.8333
российский газ;украинское правительство;6;11;0.8333
российский газ;собственное средство;6;14;0.8333
российский газ;российская власть;6;6;1.0000
российский газ;правительство РФ;6;14;0.8333
российский газ;Российская Федерация;6;6;0.8333
российский газ;иностранная компания;6;13;0.8333
российский газ;российский банк;6;6;1.0000
российский газ;промышленное производство;6;8;0.8333
российский газ;российский производитель;6;9;1.0000
российский газ;правительство;6;14;0.8333
российский газ;российское законодательство;6;12;1.0000
российский газ;российский бизнес;6;7;1.0000
