concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;российская валюта;20;31;0.8000
банковский сектор;российское правительство;20;40;0.8500
банковский сектор;российская компания;20;35;0.8000
банковский сектор;генеральный директор;20;33;0.8500
банковский сектор;Банк России;20;21;0.8000
банковский сектор;Центральный банк;20;23;0.8500
банковский сектор;банк России;20;21;0.8000
банковский сектор;аналитическое управление;20;37;0.8500
банковский сектор;собственное средство;20;31;0.8000
банковский сектор;национальная экономика;20;31;0.8000
банковский сектор;Российская Федерация;20;33;0.8000
банковский сектор;дополнительное средство;20;33;0.8000
банковский сектор;Следственный комитет;20;30;0.8000
банковский сектор;министр финансов;20;26;0.8000
банковский сектор;российский банк;20;33;0.8500
банковский сектор;российский производитель;20;36;0.8000
банковский сектор;официальный представитель;20;39;0.9500
банковский сектор;российское законодательство;20;39;0.8000
банковский сектор;исполнительный директор;20;35;0.9500
настоящий момент;компания;12;31;0.9167
настоящий момент;российское правительство;12;40;0.9167
настоящий момент;российская компания;12;35;0.9167
настоящий момент;экономическая ситуация;12;30;0.8333
настоящий момент;аналитик компании;12;28;0.8333
настоящий момент;аналитическое управление;12;37;0.8333
настоящий момент;иностранная компания;12;30;0.8333
настоящий момент;российский производитель;12;36;0.8333
настоящий момент;официальный представитель;12;39;0.8333
настоящий момент;российское законодательство;12;39;0.9167
настоящий момент;исполнительный директор;12;35;0.8333
валютный контроль;компания;7;31;0.8571
валютный контроль;строительство;7;29;1.0000
валютный контроль;денежное средство;7;16;0.8571
валютный контроль;российское правительство;7;40;1.0000
валютный контроль;законопроект;7;20;0.8571
валютный контроль;аналитик компании;7;28;0.8571
валютный контроль;эксперт;7;27;1.0000
валютный контроль;президент России;7;23;0.8571
валютный контроль;украинское правительство;7;30;0.8571
валютный контроль;аналитическое управление;7;37;1.0000
валютный контроль;собственное средство;7;31;0.8571
валютный контроль;правительство РФ;7;31;1.0000
валютный контроль;национальная экономика;7;31;1.0000
валютный контроль;иностранная компания;7;30;0.8571
валютный контроль;дополнительное средство;7;33;1.0000
валютный контроль;Следственный комитет;7;30;0.8571
валютный контроль;проект постановления;7;30;1.0000
валютный контроль;кредитная организация;7;25;0.8571
валютный контроль;правительство;7;34;1.0000
валютный контроль;официальный представитель;7;39;1.0000
валютный контроль;экономическая санкция;7;29;0.8571
валютный контроль;российское законодательство;7;39;1.0000
валютный контроль;Общественная палата;7;23;0.8571
валютный контроль;исполнительный директор;7;35;0.8571
потребительский кредит;российская сторона;19;33;0.8421
потребительский кредит;российское правительство;19;40;0.8947
потребительский кредит;российская экономика;19;32;0.8421
потребительский кредит;экономический рост;19;26;0.8421
потребительский кредит;экономическая политика;19;26;0.8947
потребительский кредит;аналитическое управление;19;37;0.8947
потребительский кредит;российская власть;19;32;0.8421
потребительский кредит;Российская Федерация;19;33;0.8421
потребительский кредит;российский банк;19;33;0.8421
потребительский кредит;российский производитель;19;36;0.9474
потребительский кредит;потребительское кредитование;19;25;1.0000
потребительский кредит;официальный представитель;19;39;0.9474
потребительский кредит;социально-экономическое развитие;19;30;0.8947
потребительский кредит;российское законодательство;19;39;0.8947
потребительский кредит;исполнительный директор;19;35;0.8421
проблема;компания;15;31;0.8667
проблема;строительство;15;29;0.8000
проблема;российское правительство;15;40;0.9333
проблема;российская компания;15;35;1.0000
проблема;уголовная ответственность;15;31;0.8000
проблема;управляющая компания;15;27;0.8000
проблема;аналитик компании;15;28;0.8000
проблема;генеральный директор;15;33;0.8667
проблема;директор Института;15;26;0.8000
проблема;аналитическое управление;15;37;0.8667
проблема;собственное средство;15;31;0.8000
проблема;правительство РФ;15;31;0.8667
проблема;иностранная компания;15;30;0.8000
проблема;дополнительное средство;15;33;0.8000
проблема;Следственный комитет;15;30;0.8000
проблема;проект постановления;15;30;0.8000
проблема;российский банк;15;33;0.8000
проблема;российский производитель;15;36;0.8000
проблема;правительство;15;34;0.8667
проблема;официальный представитель;15;39;0.9333
проблема;совет директоров;15;28;0.8667
проблема;российское законодательство;15;39;0.9333
проблема;исполнительный директор;15;35;0.9333
проблема;течение года;15;20;0.8000
проблема;страховая компания;15;28;0.8667
деньги;российский рубль;11;32;0.8182
деньги;строительство;11;29;0.9091
деньги;российская сторона;11;33;0.9091
деньги;российский газ;11;31;0.9091
деньги;российская валюта;11;31;0.9091
деньги;денежное средство;11;16;0.8182
деньги;российское правительство;11;40;1.0000
деньги;российская компания;11;35;1.0000
деньги;пояснительная записка;11;25;0.8182
деньги;мировая экономика;11;22;0.8182
деньги;уголовная ответственность;11;31;0.9091
деньги;экономическая ситуация;11;30;0.8182
деньги;российский рынок;11;32;0.9091
деньги;российский бюджет;11;31;0.9091
деньги;российская экономика;11;32;0.9091
деньги;экономический рост;11;26;0.8182
деньги;эксперт;11;27;0.8182
деньги;генеральный директор;11;33;0.9091
деньги;украинское правительство;11;30;0.8182
деньги;аналитическое управление;11;37;0.9091
деньги;собственное средство;11;31;1.0000
деньги;российская власть;11;32;0.9091
деньги;правительство РФ;11;31;0.8182
деньги;национальная экономика;11;31;0.9091
деньги;Российская Федерация;11;33;0.9091
деньги;дополнительное средство;11;33;1.0000
деньги;Следственный комитет;11;30;0.9091
деньги;проект постановления;11;30;0.8182
деньги;министр финансов;11;26;0.8182
деньги;российский банк;11;33;0.9091
деньги;российский производитель;11;36;0.9091
деньги;федеральный закон;11;23;0.9091
деньги;правительство;11;34;0.9091
деньги;официальный представитель;11;39;0.9091
деньги;экономическое развитие;11;27;0.9091
деньги;социально-экономическое развитие;11;30;0.9091
деньги;российское законодательство;11;39;1.0000
деньги;исполнительная власть;11;27;0.8182
деньги;исполнительный директор;11;35;0.9091
заработная плата;бизнес;6;15;0.8333
заработная плата;российское правительство;6;40;0.8333
заработная плата;национальная валюта;6;24;1.0000
заработная плата;российская компания;6;35;0.8333
заработная плата;особая экономическая зона;6;20;0.8333
заработная плата;уголовная ответственность;6;31;0.8333
заработная плата;управляющая компания;6;27;0.8333
заработная плата;экономическая ситуация;6;30;1.0000
заработная плата;начало года;6;19;0.8333
заработная плата;экономический рост;6;26;0.8333
заработная плата;эксперт;6;27;1.0000
заработная плата;генеральный директор;6;33;0.8333
заработная плата;региональная власть;6;23;1.0000
заработная плата;экономическая политика;6;26;0.8333
заработная плата;аналогичный период;6;17;0.8333
заработная плата;Центральный банк;6;23;0.8333
заработная плата;аналитическое управление;6;37;1.0000
заработная плата;национальная экономика;6;31;0.8333
заработная плата;дополнительное средство;6;33;1.0000
заработная плата;проект постановления;6;30;0.8333
заработная плата;национальная платежная система;6;23;0.8333
заработная плата;официальный представитель;6;39;0.8333
заработная плата;экономическое развитие;6;27;0.8333
заработная плата;значительная часть;6;23;0.8333
заработная плата;социально-экономическое развитие;6;30;0.8333
заработная плата;экономическая санкция;6;29;0.8333
заработная плата;российское законодательство;6;39;0.8333
заработная плата;исполнительный директор;6;35;0.8333
чистая прибыль;российский рубль;9;32;0.8889
чистая прибыль;российское правительство;9;40;1.0000
чистая прибыль;региональный бюджет;9;23;0.8889
чистая прибыль;экономическая ситуация;9;30;0.8889
чистая прибыль;российский рынок;9;32;0.8889
чистая прибыль;российский бюджет;9;31;0.8889
чистая прибыль;российская экономика;9;32;0.8889
чистая прибыль;эксперт;9;27;0.8889
чистая прибыль;аналитическое управление;9;37;1.0000
чистая прибыль;Российская Федерация;9;33;0.8889
чистая прибыль;дополнительное средство;9;33;0.8889
чистая прибыль;проект постановления;9;30;1.0000
чистая прибыль;российский производитель;9;36;0.8889
чистая прибыль;официальный представитель;9;39;1.0000
чистая прибыль;социально-экономическое развитие;9;30;0.8889
чистая прибыль;российское законодательство;9;39;1.0000
розничная цена;розничный бизнес;10;10;0.8000
розничная цена;российское правительство;10;40;0.8000
розничная цена;экономическая ситуация;10;30;0.8000
розничная цена;российская экономика;10;32;0.8000
розничная цена;кредит;10;22;0.8000
розничная цена;генеральный директор;10;33;0.8000
розничная цена;аналитическое управление;10;37;0.9000
розничная цена;национальная экономика;10;31;0.8000
розничная цена;российский производитель;10;36;0.8000
розничная цена;социально-экономическое развитие;10;30;0.8000
розничная цена;экономическая санкция;10;29;0.8000
розничная цена;российское законодательство;10;39;0.8000
розничная цена;исполнительный директор;10;35;0.8000
крупнейший банк;банковский сектор;10;20;0.8000
крупнейший банк;компания;10;31;0.9000
крупнейший банк;российское правительство;10;40;0.8000
крупнейший банк;российская компания;10;35;0.9000
крупнейший банк;аналитик компании;10;28;0.8000
крупнейший банк;эксперт;10;27;0.8000
крупнейший банк;генеральный директор;10;33;0.8000
крупнейший банк;украинское правительство;10;30;0.8000
крупнейший банк;Центральный банк;10;23;0.8000
крупнейший банк;аналитическое управление;10;37;0.8000
крупнейший банк;собственное средство;10;31;0.8000
крупнейший банк;иностранная компания;10;30;0.9000
крупнейший банк;Следственный комитет;10;30;0.8000
крупнейший банк;производство;10;20;0.8000
крупнейший банк;российский банк;10;33;0.9000
крупнейший банк;российский производитель;10;36;0.8000
крупнейший банк;крупная компания;10;23;0.9000
крупнейший банк;потребительское кредитование;10;25;0.8000
крупнейший банк;официальный представитель;10;39;1.0000
крупнейший банк;совет директоров;10;28;0.8000
крупнейший банк;российское законодательство;10;39;0.8000
крупнейший банк;исполнительный директор;10;35;0.9000
крупнейший банк;страховая компания;10;28;0.8000
падение рубля;особая экономическая зона;6;20;0.8333
падение рубля;экономическая ситуация;6;30;1.0000
падение рубля;начало года;6;19;0.8333
падение рубля;экономический рост;6;26;0.8333
падение рубля;эксперт;6;27;0.8333
падение рубля;директор департамента;6;24;0.8333
падение рубля;генеральный директор;6;33;0.8333
падение рубля;экономическая политика;6;26;0.8333
падение рубля;аналитическое управление;6;37;0.8333
падение рубля;российский банк;6;33;0.8333
падение рубля;российский производитель;6;36;0.8333
падение рубля;потребительское кредитование;6;25;0.8333
падение рубля;официальный представитель;6;39;1.0000
