xconcept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;банковская система;13;14;0.9231
банковский сектор;российская компания;13;38;0.8462
банковский сектор;интеллектуальная собственность;13;29;0.8462
банковский сектор;аналитическое управление;13;38;1.0000
банковский сектор;собственное средство;13;34;0.9231
банковский сектор;дополнительное средство;13;37;0.8462
банковский сектор;Следственный комитет;13;31;0.9231
банковский сектор;правительство;13;35;0.8462
банковский сектор;официальный представитель;13;42;1.0000
банковский сектор;исполнительный директор;13;31;0.8462
настоящий момент;строительство;9;30;0.8889
настоящий момент;российское правительство;9;38;0.8889
настоящий момент;российская компания;9;38;0.8889
настоящий момент;уголовная ответственность;9;29;0.8889
настоящий момент;российский бюджет;9;30;0.8889
настоящий момент;собственное средство;9;34;0.8889
настоящий момент;правительство РФ;9;33;1.0000
настоящий момент;дополнительное средство;9;37;1.0000
настоящий момент;российский производитель;9;36;1.0000
настоящий момент;правительство;9;35;1.0000
настоящий момент;официальный представитель;9;42;1.0000
настоящий момент;российское законодательство;9;36;0.8889
валютный контроль;компания;10;37;0.8000
валютный контроль;российская сторона;10;27;0.8000
валютный контроль;российское правительство;10;38;1.0000
валютный контроль;российская компания;10;38;1.0000
валютный контроль;окончательное решение;10;26;0.8000
валютный контроль;уголовная ответственность;10;29;0.8000
валютный контроль;управляющая компания;10;33;0.8000
валютный контроль;экономическая ситуация;10;26;0.9000
валютный контроль;российский бюджет;10;30;0.8000
валютный контроль;интеллектуальная собственность;10;29;1.0000
валютный контроль;аналитик компании;10;34;0.8000
валютный контроль;аналитическое управление;10;38;1.0000
валютный контроль;собственное средство;10;34;1.0000
валютный контроль;Российская Федерация;10;31;0.9000
валютный контроль;дополнительное средство;10;37;1.0000
валютный контроль;Следственный комитет;10;31;0.9000
валютный контроль;проект постановления;10;26;0.9000
валютный контроль;кредитная организация;10;18;0.8000
валютный контроль;российский банк;10;29;0.8000
валютный контроль;российский производитель;10;36;0.9000
валютный контроль;официальный представитель;10;42;0.9000
валютный контроль;российское законодательство;10;36;0.9000
валютный контроль;российский бизнес;10;28;0.8000
потребительский кредит;компания;14;37;0.8571
потребительский кредит;строительство;14;30;0.8571
потребительский кредит;российское правительство;14;38;0.9286
потребительский кредит;российская компания;14;38;0.9286
потребительский кредит;аналитик компании;14;34;0.9286
потребительский кредит;аналитическое управление;14;38;0.9286
потребительский кредит;собственное средство;14;34;0.8571
потребительский кредит;правительство РФ;14;33;0.8571
потребительский кредит;иностранная компания;14;39;0.8571
потребительский кредит;дополнительное средство;14;37;0.9286
потребительский кредит;российский производитель;14;36;0.8571
потребительский кредит;потребительское кредитование;14;13;0.8571
потребительский кредит;правительство;14;35;0.8571
потребительский кредит;официальный представитель;14;42;0.9286
потребительский кредит;российское законодательство;14;36;0.9286
потребительский кредит;страховая компания;14;36;0.8571
проблема;компания;20;37;0.9000
проблема;российское правительство;20;38;0.9000
проблема;российская компания;20;38;0.9500
проблема;управляющая компания;20;33;0.8000
проблема;аналитическое управление;20;38;0.8500
проблема;собственное средство;20;34;0.9000
проблема;иностранная компания;20;39;0.9000
проблема;дополнительное средство;20;37;0.9500
проблема;правительство;20;35;0.8500
проблема;официальный представитель;20;42;0.9500
проблема;российское законодательство;20;36;0.8000
проблема;исполнительный директор;20;31;0.8000
проблема;страховая компания;20;36;0.8000
деньги;строительство;11;30;0.8182
деньги;российское правительство;11;38;0.9091
деньги;российская компания;11;38;0.8182
деньги;российский бюджет;11;30;0.8182
деньги;аналитик компании;11;34;0.8182
деньги;аналитическое управление;11;38;0.9091
деньги;собственное средство;11;34;0.8182
деньги;правительство РФ;11;33;0.8182
деньги;дополнительное средство;11;37;0.8182
деньги;российский производитель;11;36;1.0000
деньги;правительство;11;35;0.8182
деньги;официальный представитель;11;42;1.0000
деньги;российское законодательство;11;36;0.9091
чистая прибыль;компания;8;37;1.0000
чистая прибыль;строительство;8;30;0.8750
чистая прибыль;российское правительство;8;38;0.8750
чистая прибыль;национальная валюта;8;24;0.8750
чистая прибыль;российская компания;8;38;1.0000
чистая прибыль;окончательное решение;8;26;0.8750
чистая прибыль;управляющая компания;8;33;0.8750
чистая прибыль;аналитик компании;8;34;1.0000
чистая прибыль;генеральный директор;8;26;0.8750
чистая прибыль;правительство РФ;8;33;1.0000
чистая прибыль;национальная экономика;8;26;0.8750
чистая прибыль;Российская Федерация;8;31;0.8750
чистая прибыль;иностранная компания;8;39;1.0000
чистая прибыль;дополнительное средство;8;37;1.0000
чистая прибыль;правительство;8;35;1.0000
чистая прибыль;официальный представитель;8;42;1.0000
чистая прибыль;совет директоров;8;25;0.8750
чистая прибыль;российское законодательство;8;36;0.8750
чистая прибыль;исполнительная власть;8;25;0.8750
чистая прибыль;исполнительный директор;8;31;0.8750
чистая прибыль;страховая компания;8;36;1.0000
крупнейший банк;компания;7;37;0.8571
крупнейший банк;российское правительство;7;38;0.8571
крупнейший банк;национальная валюта;7;24;0.8571
крупнейший банк;российская компания;7;38;1.0000
крупнейший банк;российский бюджет;7;30;0.8571
крупнейший банк;аналитик компании;7;34;0.8571
крупнейший банк;украинское правительство;7;31;0.8571
крупнейший банк;региональная власть;7;19;0.8571
крупнейший банк;Центральный банк;7;18;0.8571
крупнейший банк;правительство РФ;7;33;1.0000
крупнейший банк;национальная экономика;7;26;0.8571
крупнейший банк;Российская Федерация;7;31;0.8571
крупнейший банк;иностранная компания;7;39;0.8571
крупнейший банк;дополнительное средство;7;37;1.0000
крупнейший банк;российский производитель;7;36;0.8571
крупнейший банк;крупная компания;7;30;0.8571
крупнейший банк;федеральный закон;7;24;0.8571
крупнейший банк;правительство;7;35;1.0000
крупнейший банк;официальный представитель;7;42;1.0000
крупнейший банк;российское законодательство;7;36;0.8571
крупнейший банк;страховая компания;7;36;0.8571
средний бизнес;компания;11;37;0.8182
средний бизнес;бизнес;11;12;1.0000
средний бизнес;российское правительство;11;38;0.8182
средний бизнес;американская компания;11;23;0.8182
средний бизнес;аналитическое управление;11;38;0.9091
средний бизнес;собственное средство;11;34;0.8182
средний бизнес;иностранная компания;11;39;0.9091
средний бизнес;Следственный комитет;11;31;0.9091
средний бизнес;российский производитель;11;36;0.9091
средний бизнес;официальный представитель;11;42;1.0000
средний бизнес;российский бизнес;11;28;0.8182
Федеральная антимонопольная служба;компания;18;37;0.8889
Федеральная антимонопольная служба;российское правительство;18;38;0.8889
Федеральная антимонопольная служба;российская компания;18;38;0.9444
Федеральная антимонопольная служба;Федеральная налоговая служба;18;17;0.9444
Федеральная антимонопольная служба;аналитическое управление;18;38;0.8333
Федеральная антимонопольная служба;собственное средство;18;34;0.8333
Федеральная антимонопольная служба;федеральный бюджет;18;23;0.9444
Федеральная антимонопольная служба;правительство РФ;18;33;0.8333
Федеральная антимонопольная служба;Российская Федерация;18;31;0.8333
Федеральная антимонопольная служба;иностранная компания;18;39;0.9444
Федеральная антимонопольная служба;дополнительное средство;18;37;1.0000
Федеральная антимонопольная служба;федеральный закон;18;24;0.9444
Федеральная антимонопольная служба;правительство;18;35;0.9444
Федеральная антимонопольная служба;официальный представитель;18;42;0.9444
Федеральная антимонопольная служба;федеральная целевая программа;18;21;0.8889
Федеральная антимонопольная служба;Совет Федерации;18;16;0.8333
Федеральная антимонопольная служба;российское законодательство;18;36;0.8889
Федеральная антимонопольная служба;страховая компания;18;36;0.8333
компания;российское правительство;37;38;0.8649
компания;российская компания;37;38;0.9189
компания;управляющая компания;37;33;0.8919
компания;аналитик компании;37;34;0.8649
компания;аналитическое управление;37;38;0.8378
компания;иностранная компания;37;39;0.9730
компания;дополнительное средство;37;37;0.8378
компания;крупная компания;37;30;0.8108
компания;официальный представитель;37;42;0.9459
компания;российское законодательство;37;36;0.8108
компания;страховая компания;37;36;0.9459
кредитный портфель;банковский сектор;7;13;0.8571
кредитный портфель;финансовый рынок;7;14;0.8571
кредитный портфель;строительство;7;30;0.8571
кредитный портфель;банковская система;7;14;0.8571
кредитный портфель;российское правительство;7;38;0.8571
кредитный портфель;российская компания;7;38;0.8571
кредитный портфель;реальный сектор;7;13;0.8571
кредитный портфель;иностранный инвестор;7;20;0.8571
кредитный портфель;уголовная ответственность;7;29;0.8571
кредитный портфель;российский бюджет;7;30;0.8571
кредитный портфель;интеллектуальная собственность;7;29;0.8571
кредитный портфель;аналитик компании;7;34;0.8571
кредитный портфель;аналитическое управление;7;38;1.0000
кредитный портфель;собственное средство;7;34;1.0000
кредитный портфель;правительство РФ;7;33;0.8571
кредитный портфель;дополнительное средство;7;37;1.0000
кредитный портфель;Следственный комитет;7;31;1.0000
кредитный портфель;министр финансов;7;16;0.8571
кредитный портфель;российский производитель;7;36;1.0000
кредитный портфель;правительство;7;35;0.8571
кредитный портфель;официальный представитель;7;42;1.0000
кредитный портфель;российское законодательство;7;36;0.8571
кредитный портфель;исполнительный директор;7;31;0.8571
кредитный портфель;течение года;7;22;0.8571
кредитный портфель;финансовая система;7;15;0.8571
российский рубль;компания;26;37;0.8462
российский рубль;российская сторона;26;27;0.9615
российский рубль;российский газ;26;27;1.0000
российский рубль;российская валюта;26;25;0.9615
российский рубль;российское правительство;26;38;1.0000
российский рубль;российская компания;26;38;1.0000
российский рубль;российский рынок;26;25;0.9231
российский рубль;российский бюджет;26;30;0.9615
российский рубль;российская экономика;26;25;0.8462
российский рубль;аналитик компании;26;34;0.8077
российский рубль;украинское правительство;26;31;0.8077
российский рубль;аналитическое управление;26;38;0.8846
российский рубль;собственное средство;26;34;0.8846
российский рубль;российская власть;26;27;0.9615
российский рубль;Российская Федерация;26;31;1.0000
российский рубль;иностранная компания;26;39;0.8462
российский рубль;дополнительное средство;26;37;0.8846
российский рубль;российский банк;26;29;1.0000
российский рубль;российский производитель;26;36;1.0000
российский рубль;официальный представитель;26;42;0.9615
российский рубль;российское законодательство;26;36;0.9615
российский рубль;российский бизнес;26;28;0.9615
российский рубль;страховая компания;26;36;0.8077
данный вопрос;строительство;11;30;0.8182
данный вопрос;российская сторона;11;27;0.8182
данный вопрос;российский газ;11;27;0.8182
данный вопрос;российское правительство;11;38;0.9091
данный вопрос;российская компания;11;38;0.9091
данный вопрос;окончательное решение;11;26;0.8182
данный вопрос;уголовная ответственность;11;29;0.8182
данный вопрос;украинское правительство;11;31;0.9091
данный вопрос;аналитическое управление;11;38;1.0000
данный вопрос;собственное средство;11;34;0.8182
данный вопрос;правительство РФ;11;33;0.9091
данный вопрос;Российская Федерация;11;31;0.8182
данный вопрос;дополнительное средство;11;37;0.9091
данный вопрос;российский банк;11;29;0.8182
данный вопрос;российский производитель;11;36;0.9091
данный вопрос;правительство;11;35;0.9091
данный вопрос;официальный представитель;11;42;1.0000
данный вопрос;российское законодательство;11;36;0.8182
финансовый рынок;компания;14;37;0.8571
финансовый рынок;российское правительство;14;38;1.0000
финансовый рынок;российская компания;14;38;1.0000
финансовый рынок;российский бюджет;14;30;0.8571
финансовый рынок;аналитик компании;14;34;0.8571
финансовый рынок;украинское правительство;14;31;0.8571
финансовый рынок;аналитическое управление;14;38;1.0000
финансовый рынок;собственное средство;14;34;0.9286
финансовый рынок;правительство РФ;14;33;0.8571
финансовый рынок;Российская Федерация;14;31;0.8571
финансовый рынок;финансовая помощь;14;14;0.9286
финансовый рынок;иностранная компания;14;39;0.9286
финансовый рынок;дополнительное средство;14;37;1.0000
финансовый рынок;министр финансов;14;16;0.9286
финансовый рынок;российский банк;14;29;0.8571
финансовый рынок;российский производитель;14;36;0.8571
финансовый рынок;правительство;14;35;0.8571
финансовый рынок;официальный представитель;14;42;1.0000
финансовый рынок;российское законодательство;14;36;1.0000
финансовый рынок;финансовая система;14;15;0.9286
финансовый рынок;страховая компания;14;36;0.8571
негосударственный пенсионный фонд;компания;15;37;0.8000
негосударственный пенсионный фонд;российское правительство;15;38;0.9333
негосударственный пенсионный фонд;российская компания;15;38;0.8000
негосударственный пенсионный фонд;окончательное решение;15;26;0.8000
негосударственный пенсионный фонд;уголовная ответственность;15;29;0.8000
негосударственный пенсионный фонд;управляющая компания;15;33;0.8000
негосударственный пенсионный фонд;экономическая ситуация;15;26;0.8000
негосударственный пенсионный фонд;аналитик компании;15;34;0.8000
негосударственный пенсионный фонд;глава государства;15;15;1.0000
негосударственный пенсионный фонд;аналитическое управление;15;38;0.9333
негосударственный пенсионный фонд;иностранная компания;15;39;1.0000
негосударственный пенсионный фонд;дополнительное средство;15;37;0.8000
негосударственный пенсионный фонд;российский производитель;15;36;0.8667
негосударственный пенсионный фонд;правительство;15;35;0.8000
негосударственный пенсионный фонд;официальный представитель;15;42;0.9333
негосударственный пенсионный фонд;российское законодательство;15;36;0.9333
негосударственный пенсионный фонд;российский бизнес;15;28;0.8000
негосударственный пенсионный фонд;страховая компания;15;36;0.8667
украинская сторона;российский рубль;12;26;0.8333
украинская сторона;российская сторона;12;27;0.9167
украинская сторона;российский газ;12;27;0.9167
украинская сторона;российская валюта;12;25;0.8333
украинская сторона;российское правительство;12;38;0.9167
украинская сторона;российская компания;12;38;0.9167
украинская сторона;украинская экономика;12;15;0.9167
украинская сторона;украинский кризис;12;10;0.8333
украинская сторона;российский рынок;12;25;0.9167
украинская сторона;российский бюджет;12;30;0.9167
украинская сторона;российская экономика;12;25;0.8333
украинская сторона;Украина;12;13;1.0000
украинская сторона;украинское правительство;12;31;1.0000
украинская сторона;аналитическое управление;12;38;0.9167
украинская сторона;российская власть;12;27;0.8333
украинская сторона;Российская Федерация;12;31;0.8333
украинская сторона;дополнительное средство;12;37;0.9167
украинская сторона;российский банк;12;29;0.9167
украинская сторона;российский производитель;12;36;0.9167
украинская сторона;официальный представитель;12;42;1.0000
украинская сторона;украинский банк;12;11;0.8333
украинская сторона;украинская власть;12;10;0.8333
украинская сторона;российское законодательство;12;36;0.8333
украинская сторона;российский бизнес;12;28;0.9167
строительство;компания;30;37;0.8000
строительство;российское правительство;30;38;0.9667
