федеральный_бюджет,-1,38,19,19,21,19,12,21,24,20,16,18,30,14,22,17,24,19,22,19,26,22,29,25,20,23,
падение_рубля,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,-1,-1,-1,-1,-1,7,8,10,-1,7,-1,-1,-1,-1,-1,
новый_проект,7,22,22,18,24,16,15,12,19,14,15,11,22,14,12,8,14,19,14,13,15,28,17,17,12,15,
уж_сегодня,-1,6,12,-1,6,7,-1,6,6,6,-1,7,12,-1,-1,-1,7,-1,6,7,13,10,11,10,-1,10,
россия,-1,15,12,10,9,9,7,13,7,12,10,7,13,9,10,-1,8,10,10,7,19,12,20,15,10,14,
течение_года,9,24,16,24,22,15,18,25,18,20,18,15,27,16,11,13,23,25,25,14,27,19,21,16,23,22,
федеральная_налоговая_служба,-1,28,13,17,15,13,9,15,22,15,11,13,24,10,18,13,17,15,15,10,15,15,20,14,14,17,
страховая_компания,12,50,27,25,30,26,28,30,33,28,26,21,49,23,21,21,30,28,28,39,36,38,36,38,31,36,
банковский_сектор,-1,19,17,9,18,15,13,14,16,20,21,12,16,14,12,6,14,16,19,14,24,16,28,20,13,13,
кредитная_организация,9,32,24,18,30,25,25,22,19,25,20,21,27,17,21,17,28,30,22,25,27,28,40,25,21,18,
производство,8,33,24,20,21,19,20,22,20,20,14,19,29,18,15,18,18,23,21,28,26,22,26,22,28,20,
экономическая_политика,-1,29,22,13,27,16,19,28,18,26,22,15,31,20,21,14,22,27,30,21,30,25,41,25,19,18,
млрд_кубометров,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
налоговый_кодекс,-1,12,10,6,8,7,-1,10,7,-1,7,-1,-1,7,7,-1,-1,6,-1,6,6,-1,-1,6,7,6,
дмитрий_рогозин,-1,10,-1,-1,9,13,6,9,-1,6,6,-1,11,-1,-1,-1,7,9,-1,-1,6,8,8,-1,11,-1,
социально-экономическое_развитие,-1,40,27,18,27,22,20,28,22,30,24,24,36,21,24,16,25,34,30,27,38,33,44,26,23,22,
рост_доходов,-1,9,16,10,12,15,9,17,12,15,10,12,12,12,9,-1,14,10,10,12,11,14,15,14,10,7,
