concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;российская сторона;19;33;0.8421
банковский сектор;российский газ;19;34;0.8421
банковский сектор;российская валюта;19;33;0.8421
банковский сектор;российское правительство;19;42;0.9474
банковский сектор;российская компания;19;37;0.8421
банковский сектор;российский рынок;19;34;0.8421
банковский сектор;российский бюджет;19;36;0.8947
банковский сектор;аналитическое управление;19;40;0.8421
банковский сектор;Российская Федерация;19;33;0.8421
банковский сектор;дополнительное средство;19;36;0.8421
банковский сектор;российский банк;19;35;0.8947
банковский сектор;российский производитель;19;41;0.8421
банковский сектор;официальный представитель;19;44;0.9474
банковский сектор;российское законодательство;19;39;0.8947
банковский сектор;российский бизнес;19;33;0.8421
настоящий момент;компания;12;37;0.8333
настоящий момент;строительство;12;29;0.9167
настоящий момент;российское правительство;12;42;0.9167
настоящий момент;экономическая ситуация;12;36;0.8333
настоящий момент;украинское правительство;12;28;0.9167
настоящий момент;аналитическое управление;12;40;0.9167
настоящий момент;правительство РФ;12;33;1.0000
настоящий момент;дополнительное средство;12;36;0.9167
настоящий момент;проект постановления;12;32;0.9167
настоящий момент;российский производитель;12;41;0.8333
настоящий момент;правительство;12;37;1.0000
настоящий момент;официальный представитель;12;44;1.0000
настоящий момент;российское законодательство;12;39;0.8333
настоящий момент;исполнительный директор;12;38;0.8333
валютный контроль;компания;8;37;0.8750
валютный контроль;строительство;8;29;0.8750
валютный контроль;российское правительство;8;42;1.0000
валютный контроль;национальная валюта;8;28;0.8750
валютный контроль;российская компания;8;37;0.8750
валютный контроль;региональный бюджет;8;28;0.8750
валютный контроль;экономическая ситуация;8;36;0.8750
валютный контроль;российский бюджет;8;36;0.8750
валютный контроль;экономический рост;8;28;0.8750
валютный контроль;президент России;8;29;0.8750
валютный контроль;украинское правительство;8;28;0.8750
валютный контроль;экономическая политика;8;30;0.8750
валютный контроль;аналитическое управление;8;40;1.0000
валютный контроль;собственное средство;8;36;0.8750
валютный контроль;правительство РФ;8;33;0.8750
валютный контроль;национальная экономика;8;30;1.0000
валютный контроль;Российская Федерация;8;33;0.8750
валютный контроль;иностранная компания;8;33;1.0000
валютный контроль;дополнительное средство;8;36;1.0000
валютный контроль;российский производитель;8;41;0.8750
валютный контроль;правительство;8;37;1.0000
валютный контроль;официальный представитель;8;44;1.0000
валютный контроль;экономическое развитие;8;27;0.8750
валютный контроль;экономическая санкция;8;24;0.8750
валютный контроль;российское законодательство;8;39;1.0000
валютный контроль;Общественная палата;8;28;0.8750
валютный контроль;исполнительный директор;8;38;1.0000
потребительский кредит;российское правительство;17;42;0.8824
потребительский кредит;уголовная ответственность;17;33;0.8235
потребительский кредит;аналитическое управление;17;40;0.9412
потребительский кредит;дополнительное средство;17;36;0.8824
потребительский кредит;проект постановления;17;32;0.8824
потребительский кредит;российский производитель;17;41;0.8824
потребительский кредит;потребительское кредитование;17;20;0.8824
потребительский кредит;правительство;17;37;0.8235
потребительский кредит;официальный представитель;17;44;1.0000
потребительский кредит;российское законодательство;17;39;0.8235
потребительский кредит;исполнительный директор;17;38;0.8235
потребительский кредит;потребительский спрос;17;15;0.8235
проблема;компания;21;37;0.8095
проблема;строительство;21;29;0.8095
проблема;российское правительство;21;42;1.0000
проблема;российский бюджет;21;36;0.8095
проблема;украинское правительство;21;28;0.8095
проблема;аналитическое управление;21;40;0.9524
проблема;собственное средство;21;36;0.8571
проблема;правительство РФ;21;33;0.8571
проблема;дополнительное средство;21;36;0.9048
проблема;проект постановления;21;32;0.9048
проблема;российский производитель;21;41;0.9524
проблема;правительство;21;37;0.8571
проблема;официальный представитель;21;44;1.0000
проблема;социально-экономическое развитие;21;30;0.8095
проблема;российское законодательство;21;39;0.9048
проблема;исполнительный директор;21;38;0.9048
деньги;российский рубль;12;32;0.8333
деньги;строительство;12;29;0.8333
деньги;российский газ;12;34;0.8333
деньги;российское правительство;12;42;1.0000
деньги;уголовная ответственность;12;33;0.9167
деньги;экономическая ситуация;12;36;0.8333
деньги;российский рынок;12;34;0.8333
деньги;российский бюджет;12;36;0.9167
деньги;украинское правительство;12;28;0.9167
деньги;аналитическое управление;12;40;0.8333
деньги;собственное средство;12;36;0.8333
деньги;российская власть;12;33;0.8333
деньги;правительство РФ;12;33;0.9167
деньги;Российская Федерация;12;33;0.8333
деньги;дополнительное средство;12;36;0.9167
деньги;российский банк;12;35;0.8333
деньги;российский производитель;12;41;1.0000
деньги;правительство;12;37;0.9167
деньги;официальный представитель;12;44;1.0000
деньги;российское законодательство;12;39;0.9167
деньги;исполнительный директор;12;38;1.0000
средняя зарплата;строительство;6;29;1.0000
